Sample,Salinity_dS_m
DVS-2406106,0.29
DVS-2406109,0.21
DVS-2406112,0.19
DVS-2406115,0.26
DVS-2406118,0.3
DVS-2406119,0.2
DVS-2406121,0.44
DVS-2406123,0.34
DVS-2406125,0.37
DVS-2406127,0.41
DVS-2406130,0.35
DVS-2406133,0.67
DVS-2406136,0.62
DVS-2406138,0.4
DVS-2406141,0.41
DVS-2406143,0.64
DVS-2406147,0.67
DVS-2406150,0.29
DVS-2406153,0.48
DVS-2406156,0.48
DVS-2406159,0.55
DVS-2406161,0.16
DVS-2406165,0.37
DVS-2406168,0.36
DVS-2407002,0.35
DVS-2407003,0.4
DVS-2407007,0.45
DVS-2407009,0.51
DVS-2407012,0.31
DVS-2407015,0.27
DVS-2407018,0.35
DVS-2407021,0.42
DVS-2407024,0.32
DVS-2407027,0.44
DVS-2407030,0.56
DVS-2407033,0.2
DVS-2407036,0.23
DVS-2407039,0.17
DVS-2407042,0.13
DVS-2407045,0.17
DVS-2407048,0.2
DVS-2407051,0.47
DVS-2407054,1.31
DVS-2407057,2.06
DVS-2407059,1.09
DVS-2407062,0.17
DVS-2407065,0.34
DVS-2407068,0.34
DVS-2407089,0.25
DVS-2407087,0.2
DVS-2407085,0.35
DVS-2407098,0.2
DVS-2407099,0.27
DVS-2407084,0.26
DVS-2407094,0.35
DVS-2407075,0.28
DVS-2407074,0.21
DVS-2407077,0.31
DVS-2407080,0.16
DVS-2407102,0.35
DVS-2407106,1.8
DVS-2407108,0.41
AB 003,0.45
DVS 2311034,1.13
DVS 2311055,0.49
DVS 2311068,0.91
DVS 2311077,1.03
BRK 2403 013,0.58
BRK 2403 020,1.09
DVS 2311083,0.96
DVS 2311086,0.38
DVS 2311088,0.48
DVS 2311091,0.55
DVS 2311094,0.58
DVS 2311096,2.67
DVS 2311099,0.76
DVS 2311100,18.7
DVS 2311104,0.8
DVS 2311106,0.59
DVS 2311109,0.45
DVS 2311112,2.76
DVS 2311115,1.05
DVS 2311118,0.7
DVS 2311121,0.98
DVS 2311142,3.42
LA 005,0.18
LA 008,0.25
LA 011,0.26
LA 014,0.17
20230524 132157 CDK,1.15
20230525 135110 JEW,0.54
DVS 004,0.26
ARC 001,1.82
ARC 004,1.64
KMR EHA 6/21/2023 Arnold,19.5
DVS 005,0.42
BRK 003,0.38
SAN A255,0.56
SAN A256,0.74
SAN A257,0.35
SAN A258,0.39
ARC 007,7.33
AB 005,0.51
DVS 2311010,0.4
DVS 2311014,0.38
DVS 2311041,0.65
DVS 2311044,1.32
DVS 2311050,1.42
LSG 001,1.64
LSG 002,1.86
HF 001,0.72
HF 002,1.48
BRK 2403 038,1
BRK 2403 045,19.1
BRK 2403 053,0.75
BRK 2403 054,3.57
BRK 2403 055,0.67
BRK 2403 061,0.54
20230601 134026 CDK,0.33
DVS 001,0.72
BRK 001,1.2
ARC 010,4.07
BRK 009,1.52
BRK 1123029,1.69
DVS 2311003,0.83
DVS 2311007,1.31
DVS 2311018,0.7
DVS 2311022,1.08
DVS 2311024,1.4
DVS 2311025,0.9
DVS 2311030,0.74
DVS 2311036,0.64
DVS 2311053,0.97
DVS 2311061,1.52
DVS 2311066,1.42
DVS 2311072,1.31
DVS 2311081,1.07
BRK 2403 002,0.37
BRK 2403 006,0.4
BRK 2403 017,0.63
BRK 2403 027,0.47
BRK 2403 033,0.37
BRK 2403 049,0.222
LSG 003,0.513
DVS 2311124,0.786
DVS 2311127,1.03
DVS 2311130,0.934
DVS 2311133,0.843
DVS 2311136,1.03
DVS 2311139,0.882
DVS 2311145,2.01
DVS 2311150,0.708
LA 002,0.408
LA 020,0.956
LA 023,0.328
LA 026,0.541
DVS 2406002,0.174
DVS 2406005,0.315
DVS 2406008,0.288
DVS 2406010,0.208
DVS 2406012,0.278
DVS 2406014,0.24
DVS 2406019,0.175
DVS 2406021,0.2
DVS 2406023,0.278
DVS 2406026,0.364
DVS 2406029,0.498
DVS 2406052,0.371
DVS 2406055,0.266
DVS 2406058,0.252
DVS 2406061,0.317
DVS 2406064,0.162
DVS 2406066,0.29
DVS 2406068,0.321
DVS 2406072,0.26
DVS 2406074,0.881
DVS 2406077,0.46
DVS 2406080,0.48
DVS 2406083,0.736
DVS 2406086,0.802
DVS 2406089,16.3
DVS 2406092,6.27
DVS 2406094,0.43
DVS 2406097,0.62
DVS 24060100,0.35
DVS 24060103,0.32
DVS-2407110,0.1
DVS-2406179,0.1
DVS-2406177,3.1
DVS-2406176,13
DVS-2406174,0.6
DVS-2406172,0.5
DVS-2407119,1
DVS-2407116,0.2
DVS-2407114,0.1
DVS-2407111,0.2
DVS-2407129,0.1
DVS-2407126,0.1
DVS-2407123,0.1
DVS-2407122,ND
DVS-2407137,0.1
DVS-2407135,0.2
DVS-2407134,ND
DVS-2407132,0.1
LA-030,0.1